gold_label,sentence1,sentence2
entailment,Through zoom oh sorry my bad it is robbing Peter i'm in practical like better all right,Let me see if I can see that something again
entailment,Let me see if I can see that something again,All right
entailment,All right,Okay let's play
entailment,Okay let's play,it's your turn
entailment,it's your turn,Oh it's my done
entailment,Oh it's my done,yeah it's your turn to say okay it's my turn now all right
entailment,yeah it's your turn to say okay it's my turn now all right,So so what so what would be what would be your technique to win this game
entailment,So so what so what would be what would be your technique to win this game,I just want to follow you or defend your not finishing your boxes
entailment,I just want to follow you or defend your not finishing your boxes,Oh that's pretty neat
entailment,Oh that's pretty neat,Okay
entailment,Okay,All right
entailment,All right,I was playing with the computer earlier but the computer is too small
entailment,I was playing with the computer earlier but the computer is too small,So the computer one
entailment,So the computer one,yeah all the time
entailment,yeah all the time,Oh
entailment,Oh,So it's my
entailment,So it's my,yep
entailment,yep,Oh it's my turn
entailment,Oh it's my turn,yeah
entailment,yeah,yeah
entailment,yeah,yeah that was pretty sleek
entailment,yeah that was pretty sleek,running out of time
entailment,running out of time,Oh oh
entailment,Oh oh,yeah
entailment,yeah,Oh really
entailment,Oh really,yeah
entailment,yeah,I got another one
entailment,I got another one,yeah yeah i'm doing my score
entailment,yeah yeah i'm doing my score,And right now i'm winning again look
entailment,And right now i'm winning again look,It doesn't matter which one
entailment,It doesn't matter which one,Which one you shake yeah
entailment,Which one you shake yeah,i'm not checking properly yeah
entailment,i'm not checking properly yeah,yeah
entailment,yeah,One and
entailment,One and,I think it's your
entailment,I think it's your,yep again
entailment,yep again,Let me shake it
entailment,Let me shake it,Oh that's
entailment,Oh that's,Oh there we go
entailment,Oh there we go,yeah yeah
entailment,yeah yeah,Yes
entailment,Yes,Okay I can play over there
entailment,Okay I can play over there,yeah
entailment,yeah,Yes
entailment,Yes,Oh you're not so here you will
entailment,Oh you're not so here you will,grow
entailment,grow,So
entailment,So,You can create another box like trying to make it somewhere else
entailment,You can create another box like trying to make it somewhere else,Okay
entailment,Okay,You don't have to be like clothes you know
entailment,You don't have to be like clothes you know,yeah cartoon
entailment,yeah cartoon,my turn I have another one
entailment,my turn I have another one,Oh
entailment,Oh,I wasn't you're looking at you
entailment,I wasn't you're looking at you,Oh she's
entailment,Oh she's,You have another one look look carefully you had
entailment,You have another one look look carefully you had,You got another point
entailment,You got another point,Thank you
entailment,Thank you,yeah
entailment,yeah,I just did now
entailment,I just did now,This
entailment,This,was your turn yeah
entailment,was your turn yeah,well
entailment,well,You run out of time
entailment,You run out of time,Okay yeah it's almost done will like we need to play until like we can
entailment,Okay yeah it's almost done will like we need to play until like we can,yeah we have like a big green that's why it's taking forever
entailment,yeah we have like a big green that's why it's taking forever,yeah I wish we have the tree by a tree
entailment,yeah I wish we have the tree by a tree,yeah I wish
entailment,yeah I wish,Okay
entailment,Okay,yeah
entailment,yeah,again
entailment,again,yeah
entailment,yeah,i'm super smooth on
entailment,i'm super smooth on,This
entailment,This,Oh
entailment,Oh,Okay that's good
entailment,Okay that's good,Good
entailment,Good,Okay
entailment,Okay,Now you you have my trick now
entailment,Now you you have my trick now,it's your turn it's your turn
entailment,it's your turn it's your turn,timeout yeah
entailment,timeout yeah,All right
entailment,All right,Okay
entailment,Okay,I think this one I got it
entailment,I think this one I got it,I got it I got it I got it I got it
entailment,I got it I got it I got it I got it,done
entailment,done,My turn all right
entailment,My turn all right,whoa whoa okay
entailment,whoa whoa okay,yeah yeah
entailment,yeah yeah,I just follow your trick
entailment,I just follow your trick,Okay okay okay okay
entailment,Okay okay okay okay,yeah at the end is very difficult
entailment,yeah at the end is very difficult,Am I done
entailment,Am I done,Okay
entailment,Okay,whoa
entailment,whoa,that's nice yeah
entailment,that's nice yeah,yeah it's better to play play for somebody to win
entailment,yeah it's better to play play for somebody to win,Because we want to finish the song quick
entailment,Because we want to finish the song quick,My
entailment,My,it's my
entailment,it's my,Okay my done right
entailment,Okay my done right,yeah
entailment,yeah,And then
entailment,And then,There we go alright so that was the first round now let's let's start in not around
entailment,There we go alright so that was the first round now let's let's start in not around,yeah sure but this time around like we need to since you went we need to like we need to since both of us know now we need to be a little bit like more
entailment,yeah sure but this time around like we need to since you went we need to like we need to since both of us know now we need to be a little bit like more,yeah
entailment,yeah,All right yeah I
entailment,All right yeah I,need to send you that oh no
entailment,need to send you that oh no,I think I didn't report it
entailment,I think I didn't report it,yeah you're already in
entailment,yeah you're already in,So it's my
entailment,So it's my,yeah
entailment,yeah,My turn oh
entailment,My turn oh,I did the first the first round you were like the newbies and me I was desperate
entailment,I did the first the first round you were like the newbies and me I was desperate,So the second round we were like experience right
entailment,So the second round we were like experience right,yeah we both
entailment,yeah we both,Okay
entailment,Okay,yeah
entailment,yeah,Thank you
entailment,Thank you,that's what I like
entailment,that's what I like,Okay I think I have another point
entailment,Okay I think I have another point,You see when I have that this plus
entailment,You see when I have that this plus,For sure I will make it
entailment,For sure I will make it,Oh you're falling that pattern
entailment,Oh you're falling that pattern,yeah
entailment,yeah,Time yeah
entailment,Time yeah,Oh
entailment,Oh,Okay
entailment,Okay,Your turn okay
entailment,Your turn okay,You play
entailment,You play,yeah
entailment,yeah,Moving quick
entailment,Moving quick,Okay
entailment,Okay,check them out careful
entailment,check them out careful,Though for real but you good
entailment,Though for real but you good,So far you play like be
entailment,So far you play like be,So it's not easy for me
entailment,So it's not easy for me,Okay I think I
entailment,Okay I think I,gave
entailment,gave,it's my turn now
entailment,it's my turn now,Oh
entailment,Oh,it's my turn
entailment,it's my turn,it's my yeah
entailment,it's my yeah,alright
entailment,alright,awesome awesome
entailment,awesome awesome,yeah let's
entailment,yeah let's,finish this game
entailment,finish this game,yeah you definitely the master this game all right
entailment,yeah you definitely the master this game all right,My done
entailment,My done,yeah yeah you can wash it off you can wash it off like
entailment,yeah yeah you can wash it off you can wash it off like,it's your turn like no
entailment,it's your turn like no,yeah now it's your turn
entailment,yeah now it's your turn,it's oh it's my turn
entailment,it's oh it's my turn,yeah
entailment,yeah,Yes
entailment,Yes,yep alright so I think
entailment,yep alright so I think,I think we good now
entailment,I think we good now,yeah with what we have let me check Now let me stop the sharing
entailment,yeah with what we have let me check Now let me stop the sharing,This is all the data we need
entailment,This is all the data we need,yeah and stop
entailment,yeah and stop,All right
entailment,All right,This is all the data we need so i'm going to hand the MIC this meeting and then I will call you on what's up
neutral,This is all the data we need so i'm going to hand the MIC this meeting and then I will call you on what's up,hi
entailment,hi,Hello hi
entailment,Hello hi,How are you
entailment,How are you,yeah i'm fine
entailment,yeah i'm fine,How are you
entailment,How are you,i'm good i'm good
entailment,i'm good i'm good,i'm good
entailment,i'm good,So how was your day
entailment,So how was your day,yeah
entailment,yeah,it's cool I was a masters
entailment,it's cool I was a masters,or it's going to
entailment,or it's going to,Be new window
entailment,Be new window,yeah do you like the process
entailment,yeah do you like the process,yeah it's really interesting What about you
entailment,yeah it's really interesting What about you,yeah yeah I find a different difference between
entailment,yeah yeah I find a different difference between,yeah between the two
entailment,yeah between the two,Of you register to
entailment,Of you register to,yeah how does the conversion and drugs course i'm a nice person no
entailment,yeah how does the conversion and drugs course i'm a nice person no,interest at
entailment,interest at,All so you have taken to
entailment,All so you have taken to,They can have three courses core
entailment,They can have three courses core,yeah Maybe those are the I guess the monies are you open are you cooking open
entailment,yeah Maybe those are the I guess the monies are you open are you cooking open,yeah managing and stuff my time yeah
entailment,yeah managing and stuff my time yeah,yeah awesome
entailment,yeah awesome,Not and I
entailment,Not and I,Am too quiet a call closes
entailment,Am too quiet a call closes,So we're gonna finish up my skills like than one and a half you're
entailment,So we're gonna finish up my skills like than one and a half you're,going to
entailment,going to,know everything is
entailment,know everything is,Okay what do you do finishing all your course go subjects
entailment,Okay what do you do finishing all your course go subjects,yeah
entailment,yeah,And then let's still go to yours
entailment,And then let's still go to yours,yeah it can be
entailment,yeah it can be,easy for me
entailment,easy for me,Your national semifinals
entailment,Your national semifinals,Why don't you
entailment,Why don't you,register to Ai big data and data science and instead image processing i've chosen one goal
entailment,register to Ai big data and data science and instead image processing i've chosen one goal,yeah
entailment,yeah,it's gonna be hard
entailment,it's gonna be hard,Do you find anything and I think this
entailment,Do you find anything and I think this,Is the tournament's trusting not really because I am new to the course i've never studied that before
entailment,Is the tournament's trusting not really because I am new to the course i've never studied that before,yeah so i'm finding a little hard to find and liking it
entailment,yeah so i'm finding a little hard to find and liking it,So we'll start the game
entailment,So we'll start the game,Okay so
entailment,Okay so,Okay let me share the screen
entailment,Okay let me share the screen,yeah I can
entailment,yeah I can,send the invites to your main
entailment,send the invites to your main,Okay
entailment,Okay,have to join yeah i'm checking
entailment,have to join yeah i'm checking,In this shading on
entailment,In this shading on,Dawson knoxville
entailment,Dawson knoxville,yeah
entailment,yeah,Can you see my screen
entailment,Can you see my screen,yeah
entailment,yeah,Okay
entailment,Okay,yeah
entailment,yeah,chopping down
entailment,chopping down,alright
entailment,alright,So we'll start with
entailment,So we'll start with,That one
entailment,That one,Okay what did he sent to the name to join
entailment,Okay what did he sent to the name to join,Can you access it
entailment,Can you access it,Okay
entailment,Okay,yeah
entailment,yeah,again
entailment,again,Any of the playful
entailment,Any of the playful,Okay
entailment,Okay,And then we'll go with another
entailment,And then we'll go with another,star
entailment,star,Okay
entailment,Okay,again
entailment,again,yeah yeah
entailment,yeah yeah,And again
entailment,And again,yeah
entailment,yeah,And then another thing that's dogs and boxes
entailment,And then another thing that's dogs and boxes,Okay
entailment,Okay,two players name
entailment,two players name,Five and before
entailment,Five and before,We just have to draw lines and whoever gets So whoever gets the mouse and whoever gets to pull the box I mean bass line for the words
entailment,We just have to draw lines and whoever gets So whoever gets the mouse and whoever gets to pull the box I mean bass line for the words,Okay it's two Min gets that bolts and you can initiate that works alone
entailment,Okay it's two Min gets that bolts and you can initiate that works alone,Okay
entailment,Okay,Then we'll get more done
entailment,Then we'll get more done,Now
entailment,Now,know
entailment,know,Okay
entailment,Okay,Then
entailment,Then,What cell and Senator what's working through this chatter me
entailment,What cell and Senator what's working through this chatter me,mm hmm
entailment,mm hmm,Industry
entailment,Industry,send me the link
entailment,send me the link,centered on
entailment,centered on,Okay
entailment,Okay,It says against
entailment,It says against,Asians you won twice
entailment,Asians you won twice,yeah Thank you
entailment,yeah Thank you,Oh I stopped sharing
entailment,Oh I stopped sharing,yeah okay
entailment,yeah okay,was really nice thing with you
entailment,was really nice thing with you,yeah yeah
entailment,yeah yeah,Oh
entailment,Oh,yeah
entailment,yeah,yeah
entailment,yeah,Great meeting you feel
entailment,Great meeting you feel,yeah me too
entailment,yeah me too,it's nice thing
entailment,it's nice thing,yeah
entailment,yeah,Actually in the meeting
entailment,Actually in the meeting,yeah my bad
entailment,yeah my bad,I lost share the recording to you like know in five minutes
entailment,I lost share the recording to you like know in five minutes,Okay
entailment,Okay,Thank you
entailment,Thank you,Item how are you
entailment,Item how are you,hi i'm playing call you
entailment,hi i'm playing call you,yeah i'm good I was there I was ready
entailment,yeah i'm good I was there I was ready,yeah it is busy day actually
entailment,yeah it is busy day actually,i'm actually in Washington Seattle
entailment,i'm actually in Washington Seattle,i'm in denton
entailment,i'm in denton,How are you doing these days
entailment,How are you doing these days,i'm doing Okay if I say minutes
entailment,i'm doing Okay if I say minutes,By the way or what are your courses little
entailment,By the way or what are your courses little,introduction to a software development and deep learning
entailment,introduction to a software development and deep learning,And this hydrogen right
entailment,And this hydrogen right,yeah
entailment,yeah,So you are in computer science right
entailment,So you are in computer science right,Yes I am
entailment,Yes I am,Okay that's great So this was a fashion
entailment,Okay that's great So this was a fashion,yeah it is it is my first semester
entailment,yeah it is it is my first semester,Oh okay nice okay let's start playing the game okay
entailment,Oh okay nice okay let's start playing the game okay,Okay i'll share the screen
entailment,Okay i'll share the screen,Here yeah
entailment,Here yeah,So let's start with the
entailment,So let's start with the,dog sandbox sand boxes
entailment,dog sandbox sand boxes,Okay
entailment,Okay,me too
entailment,me too,I think you should choose the smaller one right
entailment,I think you should choose the smaller one right,yeah I chose this model
entailment,yeah I chose this model,would be great
entailment,would be great,Sorry
entailment,Sorry,To force it would be great
entailment,To force it would be great,yeah
entailment,yeah,yeah I shared the link on the water
entailment,yeah I shared the link on the water,yeah I saw
entailment,yeah I saw,A comment ready
entailment,A comment ready,yeah
entailment,yeah,So like you're doing all this game
entailment,So like you're doing all this game,yeah let's do it
entailment,yeah let's do it,Okay here right a you need to just draw the lines and who are ill will complete the square is going to
entailment,Okay here right a you need to just draw the lines and who are ill will complete the square is going to,uh huh
entailment,uh huh,Okay
entailment,Okay,Like more number of squares right
entailment,Like more number of squares right,yeah and then who will make more number of squares is going to me
entailment,yeah and then who will make more number of squares is going to me,So
entailment,So,Here you go
entailment,Here you go,Why
entailment,Why,Give
entailment,Give,You that s3
entailment,You that s3,Know it's the payback
entailment,Know it's the payback,Okay
entailment,Okay,let's play a game with big numbers
entailment,let's play a game with big numbers,yeah I think it's enough we'll play another game tic TAC toe
entailment,yeah I think it's enough we'll play another game tic TAC toe,game
entailment,game,send me a link
entailment,send me a link,yeah
entailment,yeah,Okay
entailment,Okay,click on that link and click on play
entailment,click on that link and click on play,les
entailment,les,Brown
entailment,Brown,Next
entailment,Next,yeah
entailment,yeah,No it's done
entailment,No it's done,Directly contrast
entailment,Directly contrast,No I just click on the middle throw
entailment,No I just click on the middle throw,You Laughter
entailment,You Laughter,is asked me to left the room
entailment,is asked me to left the room,No
entailment,No,No I am not getting the game right
entailment,No I am not getting the game right,Okay let me share the link
entailment,Okay let me share the link,hey what's up man
entailment,hey what's up man,Like the same
entailment,Like the same,not getting the option
entailment,not getting the option,No i'm definitely played the role
entailment,No i'm definitely played the role,play with your friends
entailment,play with your friends,Okay just kidding
entailment,Okay just kidding,yeah
entailment,yeah,Okay
entailment,Okay,Join
entailment,Join,The group again
entailment,The group again,Okay
entailment,Okay,Are you in the room ideally
entailment,Are you in the room ideally,I think I am
entailment,I think I am,Not forever
entailment,Not forever,yeah let's find a middle name
entailment,yeah let's find a middle name,abandon ship
entailment,abandon ship,Order your
entailment,Order your,salon game we need to annotate the videos
entailment,salon game we need to annotate the videos,let's say one more time and otherwise let's drop
entailment,let's say one more time and otherwise let's drop,It no
entailment,It no,You just close the browser okay
entailment,You just close the browser okay,yeah
entailment,yeah,You left the game
entailment,You left the game,The game
entailment,The game,yeah
entailment,yeah,I think I have some problem with a fair something
entailment,I think I have some problem with a fair something,Okay that's fine
entailment,Okay that's fine,let's do one thing let's play dogs dogs sandbox a second
entailment,let's do one thing let's play dogs dogs sandbox a second,Okay
entailment,Okay,Yes
entailment,Yes,Okay come on it let's play fast
entailment,Okay come on it let's play fast,bye
entailment,bye,Oh
entailment,Oh,Okay
entailment,Okay,No I guess
entailment,No I guess,Yes
entailment,Yes,you'll see a little
entailment,you'll see a little,completed last
entailment,completed last,shot that a good evening
neutral,shot that a good evening,hi Jerry how are you
entailment,hi Jerry how are you,hi how are you
entailment,hi how are you,i'm good
entailment,i'm good,What about you
entailment,What about you,yeah i'm fine
entailment,yeah i'm fine,With the sentiments
entailment,With the sentiments,Florida process right
entailment,Florida process right,Yes
entailment,Yes,So how you are in a only right
entailment,So how you are in a only right,Now i'm i'm from computer science what about you
entailment,Now i'm i'm from computer science what about you,I took masters in a
entailment,I took masters in a,must see it first semester semester you
entailment,must see it first semester semester you,yeah i'm if I say Mr
entailment,yeah i'm if I say Mr,Okay
entailment,Okay,Good
entailment,Good,Whatever you are in first semester
entailment,Whatever you are in first semester,Yes i'm a pessimist okay
entailment,Yes i'm a pessimist okay,Do you have any plans to change for me to computer science
entailment,Do you have any plans to change for me to computer science,Actually i'm from i'm from computer engineering computer science anything so my major is a master's in computer anything
entailment,Actually i'm from i'm from computer engineering computer science anything so my major is a master's in computer anything,Okay so from supercomputer in insurance to you is objects
entailment,Okay so from supercomputer in insurance to you is objects,That we can take what was up to be more
entailment,That we can take what was up to be more,Okay fine now guillen's I share my screen
entailment,Okay fine now guillen's I share my screen,Yes
entailment,Yes,i'll just they know how to play this dots and boxes
entailment,i'll just they know how to play this dots and boxes,Yes oh
entailment,Yes oh,Okay from pri Okay could you please send me the link once I played before like in you know Google time using Google trying I played
entailment,Okay from pri Okay could you please send me the link once I played before like in you know Google time using Google trying I played,Using Google drive
entailment,Using Google drive,yeah
entailment,yeah,This
entailment,This,mean let's do it fast why because
entailment,mean let's do it fast why because,Again it will be difficult for us like we need to annotate the embedded video
entailment,Again it will be difficult for us like we need to annotate the embedded video,Okay you know the game right so
entailment,Okay you know the game right so,Okay
entailment,Okay,So you're choosing to i'm
entailment,So you're choosing to i'm,Sorry
entailment,Sorry,Other people
entailment,Other people,So
entailment,So,Okay
entailment,Okay,So i'll share the link
entailment,So i'll share the link,Did you get
entailment,Did you get,In I shared in June jack
entailment,In I shared in June jack,In
entailment,In,The country
entailment,The country,Yes
entailment,Yes,yeah I know
entailment,yeah I know,You
entailment,You,Know know if you make a box you'll have one more chance
entailment,Know know if you make a box you'll have one more chance,Okay
entailment,Okay,They need to reconsider
entailment,They need to reconsider,You need to fill it again you have made one more box right
entailment,You need to fill it again you have made one more box right,So like this
entailment,So like this,You can complete them
entailment,You can complete them,So it is
entailment,So it is,OK
entailment,OK,I can go for
entailment,I can go for,Today yeah
entailment,Today yeah,yeah
entailment,yeah,send me the link
entailment,send me the link,So how many can we need to play with how many person
entailment,So how many can we need to play with how many person,They said six people
entailment,They said six people,oh six game we need to play with six different people each game so totally 12 games right
entailment,oh six game we need to play with six different people each game so totally 12 games right,yeah super
entailment,yeah super,How many games you played
entailment,How many games you played,Many games do you play
entailment,Many games do you play,This is third one I will play one man shop it for a reason okay
entailment,This is third one I will play one man shop it for a reason okay,I am having a good again due to you okay
entailment,I am having a good again due to you okay,yeah sure
entailment,yeah sure,Yes I see I saw that one okay
entailment,Yes I see I saw that one okay,Shall we play
entailment,Shall we play,It showing you are waiting for me
entailment,It showing you are waiting for me,to join
entailment,to join,Did it the contrary or something some option is they're
entailment,Did it the contrary or something some option is they're,Showing me
entailment,Showing me,What already joined
entailment,What already joined,me
entailment,me,today
entailment,today,he's waiting for you
entailment,he's waiting for you,bill one things you can create again
entailment,bill one things you can create again,Yes
entailment,Yes,Then with the proposals
entailment,Then with the proposals,And he I need to start
entailment,And he I need to start,it's like are you gaining
entailment,it's like are you gaining,Access to this project you know
entailment,Access to this project you know,I said okay
entailment,I said okay,I think you didn't click on play
entailment,I think you didn't click on play,I think
entailment,I think,Okay it's okay
entailment,Okay it's okay,So
entailment,So,yeah
entailment,yeah,Next next
entailment,Next next,I just want to stick it that's it so much it we know that is a holiday
entailment,I just want to stick it that's it so much it we know that is a holiday,Okay let me stop the
entailment,Okay let me stop the,Recording
neutral,Recording,So hi how are you I
entailment,So hi how are you I,Am good man what about you
entailment,Am good man what about you,i'm fine too so how was the day
entailment,i'm fine too so how was the day,As usual normal Sunday during relax
entailment,As usual normal Sunday during relax,yeah I was working on it
entailment,yeah I was working on it,You and I finalize my PT idea you
entailment,You and I finalize my PT idea you,know of course right
entailment,know of course right,yeah
entailment,yeah,I was working on that and I finalized that idea today
entailment,I was working on that and I finalized that idea today,Nice
entailment,Nice,Maybe you can join us
entailment,Maybe you can join us,Okay thanks
entailment,Okay thanks,Okay let's not the game
entailment,Okay let's not the game,yeah i'll share my screen
entailment,yeah i'll share my screen,are able to see my screen
entailment,are able to see my screen,I think so yes
entailment,I think so yes,Okay
entailment,Okay,So this is dots and boxes to players let's play with three by toolbox separate game
entailment,So this is dots and boxes to players let's play with three by toolbox separate game,I shared the link
entailment,I shared the link,You can click on the chat
entailment,You can click on the chat,Start game one right
entailment,Start game one right,yeah
entailment,yeah,or two
entailment,or two,To dart okay just opening the game okay so
entailment,To dart okay just opening the game okay so,Okay it says ready player 2am the player to vs ready you want me to click on the ready
entailment,Okay it says ready player 2am the player to vs ready you want me to click on the ready,yeah
entailment,yeah,Okay I clicked on that
entailment,Okay I clicked on that,Okay
entailment,Okay,So you should start I think right
entailment,So you should start I think right,yeah
entailment,yeah,Okay
entailment,Okay,Oh you will get chances good job
entailment,Oh you will get chances good job,Let me thing but I don't want to you you more opportunity if I do this you will get to if I put here again
entailment,Let me thing but I don't want to you you more opportunity if I do this you will get to if I put here again,Oh
entailment,Oh,You can take the last two words it's
entailment,You can take the last two words it's,Okay great
entailment,Okay great,let's begin
entailment,let's begin,Okay
entailment,Okay,that's it let's play another game
entailment,that's it let's play another game,Okay
entailment,Okay,This message is
entailment,This message is,Just closer okay
entailment,Just closer okay,Okay yeah it's been closed
entailment,Okay yeah it's been closed,Yet give me one SEC
entailment,Yet give me one SEC,See
entailment,See,Okay this is which one now
entailment,Okay this is which one now,This is tic TAC toe
entailment,This is tic TAC toe,Okay anything for you
entailment,Okay anything for you,I just click on the play button right
entailment,I just click on the play button right,yeah
entailment,yeah,nickname so see
entailment,nickname so see,Okay you go ahead
entailment,Okay you go ahead,I think you said start
entailment,I think you said start,Okay
entailment,Okay,Oh
entailment,Oh,that's
entailment,that's,Okay that's fine I think it was little easy
entailment,Okay that's fine I think it was little easy,yeah so yeah
entailment,yeah so yeah,he's waving no let's i'll stop this so once a stopping and the meeting will get the recording and all the transcripts and links
entailment,he's waving no let's i'll stop this so once a stopping and the meeting will get the recording and all the transcripts and links,Okay
entailment,Okay,Okay again will join again will die okay
entailment,Okay again will join again will die okay,No problem yeah
entailment,No problem yeah,Okay maddening the meeting
entailment,Okay maddening the meeting,Okay
neutral,Okay,Yes I can
entailment,Yes I can,hey what's going on
entailment,hey what's going on,don't get how are you
entailment,don't get how are you,How
entailment,How,Are you doing in this class so far
entailment,Are you doing in this class so far,um well considering I put like 80% of my grade into the project I feel like i'm doing great
entailment,um well considering I put like 80% of my grade into the project I feel like i'm doing great,it's all like completion and attending class so
entailment,it's all like completion and attending class so,Okay I should be
entailment,Okay I should be,yeah I spread it out a little bit so I put like 40% of the grade into the final project because I don't know how much of it be able to pull off
entailment,yeah I spread it out a little bit so I put like 40% of the grade into the final project because I don't know how much of it be able to pull off,exactly like
entailment,exactly like,So this is kind of what we're building datsun squares
